symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
POWERINDIA,2025-09-08,2025-09-08,18851.00,2025-09-15,20180.00,7.05%,70.50,1000.00,
MANGCHEFER,2025-09-09,2025-09-09,324.95,2025-09-16,307.80,-5.28%,-52.78,1000.00,
RADICO,2025-09-09,2025-09-09,2757.70,2025-09-16,2994.40,8.58%,85.83,1000.00,
POWERINDIA,2025-09-09,2025-09-09,18846.00,2025-09-16,19978.00,6.01%,60.07,1000.00,
MANGCHEFER,2025-09-10,2025-09-10,325.30,2025-09-17,306.70,-5.72%,-57.18,1000.00,
ANURAS,2025-09-10,2025-09-10,1097.00,2025-09-17,1104.80,0.71%,7.11,1000.00,
SUDARSCHEM,2025-09-11,2025-09-11,1375.39,2025-09-18,1429.32,3.92%,39.21,1000.00,
ANURAS,2025-09-11,2025-09-11,1095.40,2025-09-18,1086.80,-0.79%,-7.85,1000.00,
JKCEMENT,2025-09-12,2025-09-12,6555.00,2025-09-19,6862.00,4.68%,46.83,1000.00,
STEELCAS,2025-09-15,2025-09-15,204.70,2025-09-22,220.82,7.88%,78.76,1000.00,
BLUECOAST,2025-09-15,2025-09-15,51.40,2025-09-22,65.58,27.59%,275.88,1000.00,
JKCEMENT,2025-09-15,2025-09-15,6475.00,2025-09-22,6859.50,5.94%,59.38,1000.00,
VERTOZ,2025-09-16,2025-09-16,74.06,2025-09-23,77.99,5.31%,53.07,1000.00,
DATAMATICS,2025-09-18,2025-09-18,888.10,2025-09-25,877.30,-1.22%,-12.16,1000.00,
HCG,2025-09-19,2025-09-19,647.45,2025-09-26,647.40,-0.01%,-0.08,1000.00,
ZUARIIND,2025-09-22,2025-09-22,286.55,2025-09-29,363.60,26.89%,268.89,1000.00,
KRISHANA,2025-09-23,2025-09-23,535.10,2025-09-30,450.70,-15.77%,-157.73,1000.00,
MCL,2025-09-24,2025-09-24,46.92,2025-10-01,60.17,28.24%,282.40,1000.00,
FORCEMOT,2025-09-26,2025-09-26,17372.00,,,,,1000.00,no exit (insufficient data)
NESCO,2025-09-26,2025-09-26,1369.20,,,,,1000.00,no exit (insufficient data)
KRISHANA,2025-09-26,2025-09-26,530.45,,,,,1000.00,no exit (insufficient data)
TI,2025-09-29,2025-09-29,447.00,2025-10-07,467.00,4.47%,44.74,1000.00,
ASTRAMICRO,2025-09-29,2025-09-29,996.80,2025-10-07,1115.55,11.91%,119.13,1000.00,
ENDURANCE,2025-09-29,2025-09-29,2735.50,2025-10-07,2951.00,7.88%,78.78,1000.00,
VERTOZ,2025-09-29,2025-09-29,73.57,2025-10-07,71.85,-2.34%,-23.38,1000.00,
ANANDRATHI,2025-09-29,2025-09-29,2806.36,2025-10-07,2908.57,3.64%,36.42,1000.00,
SARDAEN,2025-09-30,2025-09-30,539.40,2025-10-08,561.65,4.12%,41.25,1000.00,
TI,2025-09-30,2025-09-30,448.55,2025-10-08,468.60,4.47%,44.70,1000.00,
ASTRAMICRO,2025-09-30,2025-09-30,983.90,2025-10-08,1123.90,14.23%,142.29,1000.00,
HDFCAMC,2025-09-30,2025-09-30,2766.25,2025-10-08,2737.75,-1.03%,-10.30,1000.00,
CUMMINSIND,2025-10-01,2025-10-01,3849.00,2025-10-09,3957.20,2.81%,28.11,1000.00,
HDFCAMC,2025-10-01,2025-10-01,2777.75,2025-10-09,2739.50,-1.38%,-13.77,1000.00,
KALYANIFRG,2025-10-06,2025-10-06,670.30,2025-10-13,770.30,14.92%,149.19,1000.00,
KRISHANA,2025-10-06,2025-10-06,489.25,2025-10-13,576.90,17.92%,179.15,1000.00,
BOSCHLTD,2025-10-08,2025-10-08,38350.00,2025-10-15,38380.00,0.08%,0.78,1000.00,
VERTOZ,2025-10-10,2025-10-10,70.74,2025-10-17,68.60,-3.03%,-30.25,1000.00,
SHREERAMA,2025-10-14,2025-10-14,55.31,2025-10-21,59.84,8.19%,81.90,1000.00,
APOLLO,2025-10-15,2025-10-15,291.15,2025-10-23,289.50,-0.57%,-5.67,1000.00,
APOLLO,2025-10-16,2025-10-16,293.45,2025-10-24,291.15,-0.78%,-7.84,1000.00,
APOLLO,2025-10-17,2025-10-17,293.65,,,,,1000.00,no exit (insufficient data)
APOLLO,2025-10-20,2025-10-20,288.85,2025-10-28,276.30,-4.34%,-43.45,1000.00,
GSEC10IETF,2025-10-21,2025-10-21,255.99,2025-10-29,258.70,1.06%,10.59,1000.00,
CREDITACC,2025-10-21,2025-10-21,1295.70,2025-10-29,1403.70,8.34%,83.35,1000.00,
MAHKTECH,2025-10-21,2025-10-21,26.22,,,,,1000.00,no exit (insufficient data)
APOLLO,2025-10-23,2025-10-23,289.50,2025-10-30,281.35,-2.82%,-28.15,1000.00,
AIIL,2025-10-24,2025-10-24,3032.60,2025-10-31,2908.10,-4.11%,-41.05,1000.00,
SYRMA,2025-10-27,2025-10-27,754.95,2025-11-03,790.55,4.72%,47.16,1000.00,
GAYAHWS,2025-10-27,2025-10-27,2.91,2025-11-03,3.69,26.80%,268.04,1000.00,
SILVERIETF,2025-10-28,2025-10-28,139.49,2025-11-04,145.92,4.61%,46.10,1000.00,
SILVER,2025-10-28,2025-10-28,137.46,2025-11-04,146.16,6.33%,63.29,1000.00,
SILVER1,2025-10-28,2025-10-28,135.20,2025-11-04,141.92,4.97%,49.70,1000.00,
SILVERBETA,2025-10-28,2025-10-28,135.00,2025-11-04,141.79,5.03%,50.30,1000.00,
EGOLD,2025-10-28,2025-10-28,114.60,2025-11-04,120.25,4.93%,49.30,1000.00,
ESILVER,2025-10-28,2025-10-28,140.38,2025-11-04,146.99,4.71%,47.09,1000.00,
BBNPPGOLD,2025-10-28,2025-10-28,111.25,2025-11-04,116.75,4.94%,49.44,1000.00,
SILVERADD,2025-10-28,2025-10-28,134.24,2025-11-04,140.96,5.01%,50.06,1000.00,
SBISILVER,2025-10-28,2025-10-28,136.58,2025-11-04,143.57,5.12%,51.18,1000.00,
BAFNAPH,2025-10-28,2025-10-29,148.60,,,,,1000.00,no exit (insufficient data)
TFCILTD,2025-10-29,2025-10-29,70.16,2025-11-06,67.91,-3.21%,-32.07,1000.00,
TFCILTD,2025-10-31,2025-10-31,68.86,,,,,1000.00,no exit (insufficient data)
UNITEDPOLY,2025-10-31,2025-10-31,39.81,,,,,1000.00,no exit (insufficient data)
HEROMOTOCO,2025-11-06,2025-11-06,5326.00,2025-11-13,5508.50,3.43%,34.27,1000.00,
TVSMOTOR,2025-11-06,2025-11-06,3446.80,2025-11-13,3450.60,0.11%,1.10,1000.00,
NILASPACES,2025-11-06,2025-11-06,16.99,2025-11-13,16.17,-4.83%,-48.26,1000.00,
