symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
LUMAXTECH,2025-08-14,2025-08-14,1004.7000122070312,2025-08-22,1142.199951171875,0.13685671075368727,136.85671075368728,1000.0,
FMGOETZE,2025-08-18,2025-08-18,522.5,2025-08-25,524.6500244140625,0.004114879261363637,4.114879261363637,1000.0,
NAVA,2025-08-18,2025-08-18,575.9488525390625,2025-08-25,668.3353271484375,0.16040742889249715,160.40742889249714,1000.0,
NACLIND,2025-08-18,2025-08-18,257.3500061035156,2025-08-25,269.6499938964844,0.047794783373819864,47.79478337381986,1000.0,
GOODLUCK,2025-08-18,2025-08-18,980.6324462890625,2025-08-25,1125.7047119140625,0.1479374521758755,147.9374521758755,1000.0,
BHARTIHEXA,2025-08-18,2025-08-18,1730.0,2025-08-25,1859.5999755859375,0.074913280685513,74.913280685513,1000.0,
GILT5YBEES,2025-08-18,2025-08-18,62.47999954223633,2025-08-25,62.400001525878906,-0.0012803779920539757,-1.2803779920539757,1000.0,
EBBETF0433,2025-08-19,2025-08-19,1247.75,2025-08-26,1248.18994140625,0.0003525877830094169,0.3525877830094169,1000.0,
GOODLUCK,2025-08-19,2025-08-19,995.0798950195312,2025-08-26,1102.8876953125,0.10834084864196027,108.34084864196026,1000.0,
GALLANTT,2025-08-19,2025-08-19,619.5083618164062,2025-08-26,600.9411010742188,-0.029970960662658468,-29.970960662658467,1000.0,
EBBETF0433,2025-08-20,2025-08-20,1247.6800537109375,2025-08-28,1249.1199951171875,0.0011540950758707933,1.1540950758707933,1000.0,
BBETF0432,2025-08-20,2025-08-20,1281.25,2025-08-28,1283.5999755859375,0.0018341272865853657,1.8341272865853657,1000.0,
EBBETF0433,2025-08-22,2025-08-22,1247.4200439453125,,,,,1000.0,no exit (insufficient data)
GALLANTT,2025-08-22,2025-08-22,614.2676391601562,,,,,1000.0,no exit (insufficient data)
ASHAPURMIN,2025-08-25,2025-08-25,480.5241394042969,2025-09-02,550.8106689453125,0.14627054871405512,146.2705487140551,1000.0,
GILT5YBEES,2025-08-25,2025-08-25,62.400001525878906,2025-09-02,62.290000915527344,-0.001762830250988734,-1.7628302509887341,1000.0,
GSEC5IETF,2025-08-26,,,,,,,1000.0,no price data
EBBETF0431,2025-08-26,2025-08-26,1365.3299560546875,2025-09-03,1366.7900390625,0.0010693993794962317,1.0693993794962318,1000.0,
BBETF0432,2025-08-26,2025-08-26,1280.77001953125,2025-09-03,1282.6300048828125,0.0014522399206715016,1.4522399206715015,1000.0,
